지하철역,노선명,위도,경도
419민주묘지,우이신설선,37.649593,127.013746
가능,1호선,37.748577,127.044213
가락시장,3호선8호선,37.492522,127.118234
가산디지털단지,1호선7호선,37.481072,126.882343
가양,9호선,37.561391,126.854456
가오리,우이신설선,37.641701,127.016792
가좌,경의중앙선,37.568491,126.915487
가천대,수인분당선,37.448605,127.126697
가평,경춘선,37.814536,127.510739
간석,경인선,37.464737,126.694181
갈매,경춘선,37.634118,127.114757
강남,2호선,37.497175,127.027926
강남구청,7호선수인분당선,37.517186,127.04128
강동,5호선,37.535804,127.132481
강동구청,8호선,37.530341,127.120508
강매,경의중앙선,37.612314,126.843223
강변,2호선,37.535095,127.094681
강일,5호선,,
강촌,경춘선,37.805723,127.634146
개롱,5호선,37.498079,127.13482
개봉,경인선,37.494594,126.85868
개포동,수인분당선,37.489116,127.06614
개화,9호선,37.578608,126.798153
개화산,5호선,37.572399,126.806171
거여,5호선,37.493105,127.14415
건대입구,2호선7호선,37.540693,127.07023
검암,공항철도,37.569104,126.673728
경기광주,경강선,37.399907,126.630347
경마공원,4호선,37.443885,127.007888
경복궁,3호선,37.575762,126.97353
경찰병원,3호선,37.495918,127.12454
계양,공항철도,37.571462,126.735637
고덕,5호선,37.555004,127.154151
고려대,6호선,37.590508,127.036296
고색,수인분당선,,
고속터미널,3호선7호선9호선,37.50481,127.004943
고잔,4호선,37.316777,126.823249
곡산,경의중앙선,37.645676,126.801762
곤지암,경강선,37.351315,127.34674
공덕,5호선6호선경의중앙선공항철도,37.544018,126.951592
공릉,7호선,37.625742,127.072896
공항시장,9호선,37.563726,126.810678
공항화물청사,공항철도,37.458366,126.476241
과천,4호선,37.433021,126.996568
관악,1호선,37.419232,126.908706
관악산,신림선,,
광나루,5호선,37.545303,127.10357
광명,1호선,37.416182,126.884466
광명사거리,7호선,37.479252,126.854876
광운대,1호선,37.623632,127.061835
광화문,5호선,37.571026,126.976669
광흥창,6호선,37.547456,126.931993
교대,2호선3호선,37.493415,127.01408
구로,1호선,37.503039,126.881966
구로디지털단지,2호선,37.485266,126.901401
구룡,수인분당선,37.486839,127.058856
구리,경의중앙선,37.603392,127.143869
구반포,9호선,37.501364,126.987332
구산,6호선,37.611377,126.91727
구성,수인분당선,37.298969,127.105664
구의,2호선,37.537077,127.085916
구일,경인선,37.496756,126.870793
구파발,3호선,37.636763,126.918821
국수,경의중앙선,37.516169,127.399367
국회의사당,9호선,37.528105,126.917874
군자,5호선7호선,37.557121,127.079542
군포,1호선,37.35356,126.948462
굴봉산,경춘선,37.832067,127.557695
굽은다리,5호선,37.545477,127.142853
금곡,경춘선,37.637382,127.207853
금릉,경의중앙선,37.751322,126.765347
금정,1호선,37.372221,126.943429
금천구청,1호선,37.455626,126.89398
금촌,경의중앙선,37.766217,126.774644
금호,3호선,37.548034,127.015872
기흥,수인분당선,37.275619,127.115936
길동,5호선,37.537801,127.140004
길음,4호선,37.603407,127.025053
김유정,경춘선,37.818466,127.71434
김포공항,5호선9호선공항철도서해선,37.562434,126.801058
까치산,5호선,37.531768,126.846683
낙성대,2호선,37.47693,126.963693
남구로,7호선,37.486056,126.887249
남동인더스파크,수인분당선,37.407722,126.695216
남부터미널,3호선,37.485013,127.016189
남성,7호선,37.484596,126.971251
